state_abbrev,city,total_incidents,deaths,deaths_over_incidents,injured,injuries_over_incidents,total_casualties,casualties_over_incidents,armed_robbery,armed_robberies_over_incidents,gang_involvement,gang_incidents_over_incidents,home_invasion,home_invasions_over_incidents,domestic_violence,domestic_violence_incidents_over_incidents,road_rage,road_rage_incidents_over_incidents,mass_shooting,mass_shootings_over_incidents,teen_incidents,teen_incidents_over_incidents,drug_raid,drug_raids_over_incidents,suicide,suicides_over_incidents
FL,Tallahassee,260,67,0.257692308,126,0.484615385,193,0.742307692,14,0,1,0,13,0,5,0,1,0,1,0,1,0,24,0,5,0
NV,Reno,232,69,0.297413793,103,0.443965517,172,0.74137931,20,0,13,0,1,0,5,0,2,0,0,0,1,0,0,0,7,0
MI,Grand Rapids,352,45,0.127840909,215,0.610795455,260,0.738636364,60,0,4,0,12,0,11,0,0,0,2,0,12,0,5,0,6,0
FL,Pompano Beach,65,21,0.323076923,27,0.415384615,48,0.738461538,14,0,1,0,5,0,0,0,2,0,1,0,2,0,1,0,1,0
GA,Brunswick,84,21,0.25,41,0.488095238,62,0.738095238,10,0,2,0,8,0,9,0,0,0,0,0,0,0,5,0,1,0
OH,Warren,129,27,0.209302326,68,0.527131783,95,0.736434109,6,0,1,0,7,0,8,0,1,0,1,0,2,0,5,0,2,0
NC,Jacksonville,68,20,0.294117647,30,0.441176471,50,0.735294118,5,0,1,0,4,0,8,0,2,0,0,0,0,0,1,0,3,0
FL,Leesburg,52,11,0.211538462,27,0.519230769,38,0.730769231,4,0,1,0,3,0,3,0,1,0,0,0,0,0,3,0,1,0
NY,Syracuse,642,76,0.118380062,392,0.6105919,468,0.728971963,43,0,6,0,16,0,8,0,1,0,3,0,9,0,46,0,1,0
NE,Omaha,923,144,0.156013001,527,0.570964247,671,0.726977248,99,0,16,0,57,0,16,0,9,0,4,0,5,0,12,0,12,0
FL,Clearwater,73,25,0.342465753,28,0.383561644,53,0.726027397,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0
LA,Hammond,62,22,0.35483871,23,0.370967742,45,0.725806452,6,0,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0,0
SC,Greenville,291,82,0.281786942,129,0.443298969,211,0.725085911,27,0,2,0,15,0,7,0,2,0,0,0,1,0,11,0,8,0
SC,Richland (county),69,6,0.086956522,44,0.637681159,50,0.724637681,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,Augusta,328,73,0.222560976,164,0.5,237,0.722560976,40,0,1,0,18,0,11,0,1,0,1,0,0,0,7,0,4,0
AL,Decatur,97,23,0.237113402,47,0.484536082,70,0.721649485,1,0,0,0,4,0,6,0,0,0,0,0,0,0,2,0,1,0
