state_abbrev,city,total_incidents,deaths,deaths_over_incidents,injured,injuries_over_incidents,total_casualties,casualties_over_incidents,armed_robbery,armed_robberies_over_incidents,gang_involvement,gang_incidents_over_incidents,home_invasion,home_invasions_over_incidents,domestic_violence,domestic_violence_incidents_over_incidents,road_rage,road_rage_incidents_over_incidents,mass_shooting,mass_shootings_over_incidents,teen_incidents,teen_incidents_over_incidents,drug_raid,drug_raids_over_incidents,suicide,suicides_over_incidents
TX,Corpus Christi,584,79,0.135273973,190,0.325342466,269,0.460616438,68,0,4,0,30,0,21,0,5,0,1,0,2,0,24,0,10,0
IA,Cedar Rapids,239,27,0.112970711,83,0.347280335,110,0.460251046,19,0,4,0,8,0,6,0,0,0,0,0,0,0,8,0,5,0
IL,Carbondale,81,6,0.074074074,31,0.382716049,37,0.456790123,13,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0
NC,Winston-Salem,110,14,0.127272727,36,0.327272727,50,0.454545455,48,0,0,0,15,0,1,0,0,0,0,0,1,0,0,0,0,0
TN,Johnson City,97,21,0.216494845,23,0.237113402,44,0.453608247,5,0,0,0,6,0,9,0,1,0,0,0,1,0,8,0,4,0
MN,Saint Cloud,56,6,0.107142857,19,0.339285714,25,0.446428571,4,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,1,0
RI,Pawtucket,74,7,0.094594595,26,0.351351351,33,0.445945946,7,0,1,0,4,0,3,0,0,0,0,0,0,0,13,0,1,0
UT,Salt Lake City,309,41,0.132686084,96,0.310679612,137,0.443365696,22,0,22,0,9,0,13,0,6,0,1,0,1,0,5,0,3,0
OR,Eugene,79,15,0.189873418,20,0.253164557,35,0.443037975,4,0,0,0,7,0,7,0,1,0,0,0,1,0,4,0,4,0
IL,Kankakee,186,18,0.096774194,64,0.344086022,82,0.440860215,4,0,8,0,2,0,2,0,0,0,2,0,12,0,4,0,1,0
OR,Portland,941,100,0.106269926,313,0.332624867,413,0.438894793,57,0,270,0,16,0,32,0,5,0,3,0,12,0,25,0,16,0
MA,Boston,1734,175,0.100922722,586,0.337946943,761,0.438869666,53,0,51,0,18,0,6,0,9,0,6,0,8,0,185,0,3,0
SC,Aiken,244,25,0.102459016,82,0.336065574,107,0.43852459,22,0,1,0,14,0,15,0,1,0,0,0,0,0,6,0,2,0
IA,Council Bluffs,76,6,0.078947368,27,0.355263158,33,0.434210526,12,0,0,0,13,0,3,0,1,0,0,0,0,0,2,0,1,0
IA,Dubuque,60,3,0.05,23,0.383333333,26,0.433333333,3,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0
WA,Vancouver,183,28,0.153005464,51,0.278688525,79,0.431693989,16,0,8,0,13,0,15,0,4,0,0,0,0,0,15,0,7,0
TX,Laredo,160,25,0.15625,44,0.275,69,0.43125,14,0,1,0,2,0,8,0,0,0,1,0,0,0,2,0,3,0
IL,Evanston,84,8,0.095238095,28,0.333333333,36,0.428571429,5,0,5,0,0,0,1,0,0,0,1,0,9,0,10,0,0,0
SC,Beaufort,147,16,0.108843537,47,0.319727891,63,0.428571429,23,0,0,0,10,0,6,0,1,0,0,0,0,0,1,0,1,0
TX,Lufkin,70,12,0.171428571,18,0.257142857,30,0.428571429,6,0,1,0,3,0,8,0,1,0,0,0,0,0,3,0,0,0
FL,Boca Raton,68,11,0.161764706,18,0.264705882,29,0.426470588,4,0,0,0,3,0,2,0,2,0,0,0,0,0,8,0,4,0
WA,Kennewick,54,14,0.259259259,9,0.166666667,23,0.425925926,4,0,1,0,4,0,7,0,2,0,0,0,1,0,1,0,4,0
MA,Holyoke,127,11,0.086614173,43,0.338582677,54,0.42519685,5,0,5,0,5,0,1,0,0,0,0,0,0,0,18,0,1,0
MO,Jefferson City,92,11,0.119565217,28,0.304347826,39,0.423913043,0,0,0,0,3,0,3,0,1,0,0,0,0,0,12,0,1,0
FL,Cape Coral,116,17,0.146551724,32,0.275862069,49,0.422413793,11,0,1,0,9,0,9,0,6,0,1,0,1,0,15,0,3,0
MD,Frederick,64,4,0.0625,23,0.359375,27,0.421875,3,0,1,0,4,0,1,0,0,0,0,0,0,0,7,0,1,0
CT,Hamden,95,5,0.052631579,35,0.368421053,40,0.421052632,15,0,1,0,5,0,2,0,2,0,1,0,1,0,8,0,0,0
NY,Utica,183,13,0.071038251,64,0.349726776,77,0.420765027,4,0,0,0,4,0,7,0,0,0,1,0,0,0,21,0,1,0
FL,Gainesville,199,23,0.115577889,60,0.301507538,83,0.417085427,19,0,4,0,16,0,20,0,7,0,1,0,3,0,21,0,5,0
NY,Poughkeepsie,120,11,0.091666667,39,0.325,50,0.416666667,10,0,2,0,1,0,1,0,0,0,0,0,1,0,25,0,1,0
MD,Annapolis,178,20,0.112359551,54,0.303370787,74,0.415730337,15,0,0,0,4,0,1,0,1,0,0,0,0,0,6,0,1,0
NY,Niagara Falls,182,11,0.06043956,64,0.351648352,75,0.412087912,16,0,1,0,6,0,3,0,0,0,0,0,1,0,21,0,0,0
DE,Dover,277,22,0.079422383,92,0.332129964,114,0.411552347,29,0,5,0,21,0,2,0,1,0,0,0,1,0,41,0,0,0
ID,Nampa,54,13,0.240740741,9,0.166666667,22,0.407407407,2,0,6,0,4,0,6,0,0,0,0,0,0,0,8,0,2,0
AR,Jonesboro,251,27,0.107569721,74,0.294820717,101,0.402390438,20,0,0,0,21,0,3,0,0,0,2,0,0,0,3,0,3,0
FL,Panama City,117,21,0.179487179,26,0.222222222,47,0.401709402,10,0,1,0,5,0,5,0,0,0,0,0,0,0,13,0,1,0
CA,Chico,122,7,0.057377049,42,0.344262295,49,0.401639344,13,0,7,0,0,0,2,0,2,0,0,0,0,0,3,0,2,0
OK,Enid,60,6,0.1,18,0.3,24,0.4,2,0,0,0,4,0,3,0,0,0,0,0,1,0,7,0,0,0
LA,Kenner,123,16,0.130081301,33,0.268292683,49,0.398373984,6,0,0,0,1,0,2,0,1,0,0,0,2,0,1,0,0,0
WI,Green Bay,63,12,0.19047619,13,0.206349206,25,0.396825397,6,0,0,0,2,0,3,0,1,0,0,0,0,0,2,0,1,0
WI,Racine,186,17,0.091397849,56,0.301075269,73,0.392473118,38,0,5,0,2,0,8,0,1,0,0,0,6,0,9,0,1,0
IL,Belleville,69,8,0.115942029,19,0.275362319,27,0.391304348,8,0,0,0,7,0,1,0,0,0,0,0,5,0,2,0,1,0
IA,Davenport,317,29,0.09148265,95,0.299684543,124,0.391167192,8,0,4,0,6,0,7,0,1,0,1,0,2,0,20,0,2,0
IL,Freeport,64,3,0.046875,22,0.34375,25,0.390625,0,0,6,0,1,0,3,0,0,0,0,0,3,0,3,0,0,0
FL,Port Saint Lucie,72,10,0.138888889,18,0.25,28,0.388888889,6,0,0,0,4,0,6,0,2,0,0,0,3,0,14,0,3,0
MA,Worcester,381,16,0.041994751,132,0.346456693,148,0.388451444,29,0,28,0,53,0,6,0,2,0,0,0,1,0,59,0,0,0
CO,Pueblo,352,46,0.130681818,90,0.255681818,136,0.386363636,12,0,30,0,13,0,11,0,1,0,0,0,1,0,18,0,6,0
MA,Springfield,798,48,0.060150376,259,0.324561404,307,0.384711779,76,0,27,0,42,0,15,0,3,0,1,0,3,0,96,0,1,0
ME,Portland,52,6,0.115384615,14,0.269230769,20,0.384615385,7,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0
PA,Hazleton,112,8,0.071428571,35,0.3125,43,0.383928571,10,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,1,0
NH,Nashua,63,5,0.079365079,19,0.301587302,24,0.380952381,2,0,1,0,2,0,5,0,5,0,0,0,1,0,3,0,4,0
IL,Bloomington,56,3,0.053571429,18,0.321428571,21,0.375,1,0,0,0,6,0,3,0,0,0,0,0,2,0,7,0,1,0
MT,Billings,131,19,0.145038168,30,0.229007634,49,0.374045802,4,0,0,0,6,0,9,0,4,0,0,0,2,0,3,0,5,0
FL,Naples,113,24,0.212389381,18,0.159292035,42,0.371681416,11,0,0,0,14,0,9,0,6,0,0,0,2,0,4,0,8,0
SC,Rock Hill,338,33,0.097633136,90,0.266272189,123,0.363905325,29,0,4,0,21,0,23,0,6,0,0,0,3,0,10,0,2,0
IL,Quincy,66,5,0.075757576,19,0.287878788,24,0.363636364,3,0,1,0,3,0,4,0,0,0,0,0,4,0,13,0,0,0
PA,Easton,77,9,0.116883117,19,0.246753247,28,0.363636364,6,0,1,0,2,0,1,0,1,0,0,0,1,0,4,0,1,0
WA,Spokane,362,41,0.113259669,90,0.248618785,131,0.361878453,29,0,3,0,22,0,26,0,3,0,0,0,3,0,17,0,4,0
IL,Peoria,920,40,0.043478261,291,0.316304348,331,0.359782609,72,0,18,0,43,0,15,0,0,0,1,0,22,0,14,0,1,0
OH,Elyria,106,11,0.103773585,27,0.254716981,38,0.358490566,22,0,1,0,13,0,6,0,1,0,0,0,2,0,6,0,2,0
DE,Newark,95,9,0.094736842,25,0.263157895,34,0.357894737,21,0,0,0,7,0,0,0,1,0,0,0,0,0,8,0,0,0
FL,Palm Coast,73,11,0.150684932,15,0.205479452,26,0.356164384,2,0,0,0,7,0,6,0,1,0,0,0,2,0,5,0,8,0
MN,Duluth,65,5,0.076923077,18,0.276923077,23,0.353846154,7,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,1,0
FL,Stuart,51,5,0.098039216,13,0.254901961,18,0.352941176,1,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,2,0
IN,Lafayette,156,14,0.08974359,40,0.256410256,54,0.346153846,12,0,0,0,15,0,13,0,0,0,0,0,5,0,11,0,2,0
MO,Columbia,496,26,0.052419355,143,0.288306452,169,0.340725806,30,0,2,0,54,0,22,0,3,0,1,0,0,0,27,0,2,0
MT,Missoula,62,12,0.193548387,9,0.14516129,21,0.338709677,3,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,4,0
IL,Urbana,95,7,0.073684211,25,0.263157895,32,0.336842105,13,0,0,0,5,0,8,0,0,0,0,0,2,0,8,0,2,0
ID,Boise,110,23,0.209090909,14,0.127272727,37,0.336363636,5,0,2,0,8,0,6,0,4,0,0,0,1,0,12,0,6,0
TN,Greeneville,54,7,0.12962963,11,0.203703704,18,0.333333333,0,0,0,0,1,0,4,0,1,0,0,0,3,0,7,0,1,0
ND,Minot,87,2,0.022988506,27,0.310344828,29,0.333333333,2,0,1,0,5,0,3,0,0,0,0,0,0,0,5,0,0,0
MI,Ann Arbor,54,6,0.111111111,12,0.222222222,18,0.333333333,8,0,0,0,5,0,2,0,5,0,0,0,0,0,0,0,1,0
MA,Chicopee,58,4,0.068965517,15,0.25862069,19,0.327586207,5,0,3,0,5,0,2,0,1,0,0,0,1,0,4,0,1,0
MT,Butte,71,8,0.112676056,15,0.211267606,23,0.323943662,2,0,0,0,2,0,5,0,1,0,0,0,0,0,1,0,4,0
TX,College Station,68,5,0.073529412,17,0.25,22,0.323529412,6,0,0,0,4,0,3,0,4,0,0,0,0,0,2,0,0,0
MA,Lowell,158,7,0.044303797,44,0.278481013,51,0.32278481,9,0,4,0,8,0,5,0,2,0,1,0,0,0,24,0,1,0
AK,Fairbanks,217,36,0.165898618,32,0.147465438,68,0.313364055,13,0,1,0,12,0,23,0,2,0,0,0,1,0,14,0,10,0
PA,Scranton,52,5,0.096153846,11,0.211538462,16,0.307692308,10,0,1,0,1,0,5,0,0,0,0,0,0,0,4,0,3,0
SC,Hilton Head Island,72,7,0.097222222,15,0.208333333,22,0.305555556,7,0,0,0,1,0,1,0,1,0,0,0,0,0,8,0,0,0
MA,Fall River,135,6,0.044444444,35,0.259259259,41,0.303703704,9,0,2,0,10,0,0,0,1,0,0,0,0,0,14,0,0,0
MD,Glen Burnie,93,8,0.086021505,20,0.215053763,28,0.301075269,26,0,0,0,4,0,2,0,0,0,0,0,0,0,11,0,2,0
ND,Williston,57,6,0.105263158,11,0.192982456,17,0.298245614,1,0,0,0,2,0,2,0,0,0,0,0,0,0,12,0,2,0
MA,New Bedford,241,19,0.078838174,50,0.20746888,69,0.286307054,7,0,5,0,6,0,1,0,0,0,1,0,0,0,44,0,1,0
PA,Carlisle,63,4,0.063492063,14,0.222222222,18,0.285714286,3,0,0,0,3,0,3,0,2,0,0,0,1,0,1,0,1,0
KS,Salina,91,6,0.065934066,20,0.21978022,26,0.285714286,4,0,0,0,3,0,5,0,2,0,0,0,0,0,3,0,3,0
TX,Paris,84,11,0.130952381,13,0.154761905,24,0.285714286,2,0,0,0,2,0,2,0,0,0,1,0,0,0,2,0,1,0
MA,Brockton,432,17,0.039351852,105,0.243055556,122,0.282407407,16,0,10,0,15,0,10,0,4,0,1,0,2,0,53,0,0,0
AK,Wasilla,114,16,0.140350877,16,0.140350877,32,0.280701754,3,0,0,0,9,0,7,0,1,0,0,0,1,0,7,0,4,0
MI,Bay City,57,6,0.105263158,10,0.175438596,16,0.280701754,3,0,0,0,8,0,7,0,1,0,0,0,1,0,4,0,2,0
GA,Rome,226,22,0.097345133,41,0.181415929,63,0.278761062,22,0,1,0,8,0,5,0,0,0,1,0,1,0,27,0,2,0
CT,Stamford,207,7,0.033816425,50,0.241545894,57,0.275362319,3,0,8,0,3,0,3,0,5,0,1,0,1,0,29,0,5,0
MA,Fitchburg,66,3,0.045454545,15,0.227272727,18,0.272727273,3,0,0,0,11,0,3,0,0,0,0,0,0,0,13,0,1,0
CT,New London,77,3,0.038961039,18,0.233766234,21,0.272727273,3,0,2,0,4,0,2,0,0,0,0,0,1,0,18,0,0,0
ND,Bismarck,96,9,0.09375,17,0.177083333,26,0.270833333,2,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,3,0
CA,Eureka,144,14,0.097222222,25,0.173611111,39,0.270833333,2,0,1,0,7,0,3,0,1,0,0,0,0,0,9,0,1,0
NY,Jamestown,63,4,0.063492063,13,0.206349206,17,0.26984127,2,0,0,0,4,0,3,0,0,0,0,0,0,0,15,0,0,0
IA,Iowa City,67,3,0.044776119,15,0.223880597,18,0.268656716,7,0,0,0,5,0,1,0,1,0,0,0,0,0,6,0,0,0
KY,Hopkinsville,120,9,0.075,23,0.191666667,32,0.266666667,3,0,0,0,5,0,4,0,1,0,0,0,1,0,4,0,0,0
GA,Statesboro,154,15,0.097402597,26,0.168831169,41,0.266233766,10,0,3,0,8,0,3,0,0,0,0,0,0,0,8,0,4,0
WI,Madison,611,32,0.052373159,126,0.206219313,158,0.258592471,63,0,11,0,28,0,12,0,16,0,0,0,9,0,26,0,6,0
IA,Waterloo,483,17,0.035196687,107,0.221532091,124,0.256728778,22,0,4,0,20,0,6,0,2,0,0,0,6,0,27,0,1,0
VA,Arlington,63,10,0.158730159,6,0.095238095,16,0.253968254,12,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,4,0
SC,Bluffton,75,4,0.053333333,15,0.2,19,0.253333333,8,0,0,0,3,0,6,0,2,0,0,0,0,0,8,0,0,0
GA,Athens,368,21,0.057065217,72,0.195652174,93,0.252717391,19,0,18,0,31,0,14,0,11,0,1,0,2,0,18,0,2,0
NH,Manchester,263,11,0.041825095,53,0.201520913,64,0.243346008,27,0,5,0,13,0,4,0,7,0,0,0,0,0,34,0,2,0
KY,Paducah,73,2,0.02739726,15,0.205479452,17,0.232876712,5,0,0,0,3,0,1,0,0,0,0,0,2,0,12,0,0,0
MA,Framingham,53,2,0.037735849,10,0.188679245,12,0.226415094,7,0,0,0,2,0,5,0,0,0,0,0,0,0,11,0,1,0
NE,Lincoln,468,27,0.057692308,78,0.166666667,105,0.224358974,46,0,2,0,37,0,16,0,6,0,0,0,1,0,30,0,7,0
MA,Revere,68,3,0.044117647,12,0.176470588,15,0.220588235,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0
MA,Pittsfield,160,8,0.05,27,0.16875,35,0.21875,4,0,3,0,5,0,4,0,0,0,1,0,0,0,23,0,1,0
OR,Medford,129,15,0.11627907,13,0.100775194,28,0.217054264,2,0,7,0,11,0,5,0,0,0,0,0,0,0,15,0,4,0
MA,Lynn,274,15,0.054744526,43,0.156934307,58,0.211678832,10,0,5,0,5,0,0,0,1,0,0,0,0,0,16,0,0,0
ID,Idaho Falls,57,6,0.105263158,6,0.105263158,12,0.210526316,1,0,0,0,1,0,8,0,0,0,0,0,0,0,2,0,1,0
MN,Rochester,173,8,0.046242775,28,0.161849711,36,0.208092486,13,0,2,0,12,0,4,0,2,0,0,0,4,0,11,0,3,0
NM,Santa Fe,116,10,0.086206897,14,0.120689655,24,0.206896552,6,0,1,0,4,0,1,0,4,0,0,0,1,0,1,0,1,0
CO,Grand Junction,172,15,0.087209302,20,0.11627907,35,0.203488372,2,0,2,0,3,0,7,0,6,0,0,0,2,0,26,0,2,0
SD,Sioux Falls,264,17,0.064393939,34,0.128787879,51,0.193181818,19,0,0,0,10,0,10,0,4,0,0,0,3,0,15,0,4,0
ND,Fargo,83,6,0.072289157,10,0.120481928,16,0.192771084,7,0,1,0,6,0,2,0,0,0,0,0,0,0,3,0,2,0
MT,Helena,53,9,0.169811321,1,0.018867925,10,0.188679245,0,0,0,0,2,0,8,0,3,0,0,0,0,0,1,0,1,0
AK,Juneau,97,5,0.051546392,9,0.092783505,14,0.144329897,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,3,0
WY,Casper,239,13,0.054393305,11,0.046025105,24,0.10041841,2,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,4,0
MN,Albert Lea,51,2,0.039215686,3,0.058823529,5,0.098039216,3,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0
NH,Rochester,90,2,0.022222222,4,0.044444444,6,0.066666667,2,0,0,0,3,0,0,0,2,0,0,0,2,0,2,0,0,0
TX,Mansfield,122,4,0.032786885,4,0.032786885,8,0.06557377,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0
NH,Portsmouth,51,3,0.058823529,0,0,3,0.058823529,2,0,0,0,1,0,2,0,1,0,0,0,0,0,6,0,3,0
CA,Red Bluff,103,1,0.009708738,5,0.048543689,6,0.058252427,1,0,1,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0
TX,Dallas (Dfw Airport),56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
